recipename,labels,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob
a good easy garlic chicken,4,0.155384615,0.3,0.303333333,0.15333333300000002,0.094,0.005666666999999999,0.008,0.552,0.031746032,0.0704,0.033333333,0.023,0.055555556,0.0,0.95,0.5,0.0875,0.015,214,-0.336365519,4.2894735189999995,0.99910182
a jerky chicken,6,0.041538462000000005,0.05,0.226666667,0.40916666700000004,0.11,0.045,0.012,0.57,0.317460317,0.012,0.066666667,0.032,0.055555556,0.0,0.95,0.5,0.1075,0.02,197,0.25128944,4.477107038,0.79697455
a nice slow cooked pork,9,0.29384615399999997,0.35,0.28,0.2625,0.224571429,0.11433333300000001,0.12,0.534,0.19047619,0.1394,0.316666667,0.078,0.166666667,0.666666667,0.55,0.0,0.1,0.06,431,-2.929335239,4.272659786,0.846903251
a pad thai worth making,4,0.42769230799999997,0.25,0.933333333,0.6629166670000001,0.216285714,0.27699999999999997,0.22,0.828,0.34920634899999997,0.3302,0.65,0.127,0.27777777800000003,0.0,0.95,0.5,0.295,0.335,742,-5.403636443,4.517766786,0.99999138
a plus fair corn dogs,4,0.303076923,0.35,0.11666666699999999,0.301666667,0.031714286,0.045333332999999996,0.016,0.138,0.158730159,0.0052,0.0,0.047,0.055555556,0.0,0.15,0.0,0.0275,0.065,261,-4.946264609,4.454127662,0.9675116009999999
a potato salad sandwich,3,0.361538462,0.2,0.12666666699999998,0.265416667,0.060857142999999995,0.12,0.156,0.14,0.253968254,0.1316,0.15,0.073,0.111111111,0.0,0.15,0.0,0.0425,0.165,378,-4.206001575,4.2218014660000005,0.577701572
a slow cooker thanksgiving,0,0.235384615,0.15,0.15333333300000002,0.49541666700000003,0.10771428599999999,0.147,0.076,0.47600000000000003,0.6031746029999999,0.02,0.05,0.079,0.166666667,0.0,0.8,0.5,0.0975,0.1475,410,-3.3366811000000003,4.470739947,0.7759522759999999
a southern fried chicken,4,0.46615384600000004,0.4,0.61,0.55125,0.23600000000000002,0.264333333,0.10400000000000001,1.018,0.634920635,0.0976,0.066666667,0.26,0.333333333,0.666666667,1.25,0.5,0.1925,0.3625,806,-4.842268155,4.390313416000001,0.999950935
absolutely fabulous portobello mushroom tortellini,4,0.390769231,0.6,0.18333333300000001,0.38875,0.086285714,0.140666667,0.10800000000000001,0.366,0.126984127,0.1282,0.033333333,0.217,0.111111111,0.0,0.15,0.0,0.0275,0.0375,470,-7.268895016,4.363957374,0.9828229909999999
acapulco chicken,6,0.21384615399999998,0.15,0.24,0.26458333300000003,0.212,0.07933333299999999,0.196,0.602,0.19047619,0.4538,1.4333333330000002,0.064,0.166666667,0.0,0.95,0.5,0.1475,0.105,333,-0.066618977,4.207489058999999,0.8763181840000001
acapulco margarita grouper,4,0.292307692,0.15,0.206666667,0.51875,0.28371428600000004,0.08766666699999999,0.084,0.6940000000000001,0.571428571,0.247,0.5166666670000001,0.062,0.111111111,0.0,0.4,0.5,0.175,0.1025,511,-1.823703193,4.203239293,0.468731864
acorn squash with sweet spicy sausage,4,0.186153846,0.15,0.213333333,0.42208333299999995,0.23571428600000002,0.150666667,0.22,0.34600000000000003,0.9841269840000001,0.107,0.233333333,0.085,0.166666667,0.0,0.05,0.0,0.185,0.06,343,-3.710249493,4.318225869,0.948709507
acorn squash wonder tacoschalupas,4,0.276923077,0.2,0.18333333300000001,0.17875,0.28085714300000003,0.132,0.336,0.168,0.158730159,0.2654,0.46666666700000003,0.158,0.166666667,0.0,0.25,0.5,0.2425,0.2325,332,-3.049412119,3.7622460369999997,0.946281212
across the border tequila shrimp,5,0.2,0.4,0.966666667,0.280833333,0.086571429,0.012333333,0.027999999999999997,0.5660000000000001,0.031746032,0.1822,0.21666666699999998,0.069,0.222222222,0.0,0.5,0.0,0.1225,0.025,279,-2.8503045360000003,4.525819932,0.8776768090000001
actually delicious turkey burgers,4,0.146153846,0.15,0.3,0.1475,0.08342857099999999,0.007666666999999999,0.008,0.418,0.0,0.0232,0.033333333,0.023,0.111111111,0.0,0.4,0.0,0.06,0.035,183,0.18555588399999998,4.453058455,0.999657111
adios turkey casserole,4,0.333846154,0.55,0.33666666700000003,0.43,0.13685714300000001,0.070333333,0.11199999999999999,0.7020000000000001,0.095238095,0.1666,0.36666666700000006,0.35700000000000004,0.166666667,0.0,0.6,0.5,0.13,0.1275,421,-4.338525875,4.230039317,0.831056813
adobo chicken with ginger,4,0.527692308,0.5,0.566666667,0.567916667,0.15028571400000001,0.017666667,0.02,0.884,0.0,0.0646,0.11666666699999999,0.048,0.166666667,0.0,1.2,0.5,0.1475,0.0425,517,-4.196160615,4.344913498,0.986283184
adobo sirloin,4,0.289230769,0.35,0.4,0.17875,0.151714286,0.012333333,0.044000000000000004,0.752,0.0,0.0082,0.1,0.035,0.27777777800000003,0.0,0.6,0.5,0.1075,0.035,342,-0.255543083,4.295352702,0.934736847
aegean chicken salad,3,0.298461538,0.35,0.31,0.45083333299999995,0.07657142900000001,0.024,0.068,0.616,0.063492063,0.132,0.35,0.136,0.166666667,0.0,0.65,0.5,0.085,0.09,332,-2.78261716,4.392412282,0.49653244700000004
afghan beef raviolis mantwo,8,0.24,0.3,0.253333333,0.48875,0.235428571,0.18933333300000002,0.368,0.68,0.28571428600000004,0.5528,0.1,0.172,0.333333333,0.666666667,0.75,0.0,0.195,0.3375,506,-3.165501264,4.282206423,0.774485498
african chicken stew,4,0.553846154,0.35,0.333333333,0.258333333,0.23600000000000002,0.105,0.256,0.8740000000000001,0.126984127,0.0826,0.26666666699999997,0.07200000000000001,0.222222222,0.0,0.75,0.5,0.2925,0.2525,615,-1.464543788,4.38151698,0.5722232389999999
after thanksgiving casserole,4,0.403076923,0.65,0.296666667,0.797083333,0.214285714,0.225,0.16399999999999998,0.512,0.253968254,0.2084,0.18333333300000001,0.157,0.222222222,0.0,0.6,0.5,0.165,0.3025,612,-10.24368596,3.9493595569999997,0.842035181
aimees quick chicken,6,0.110769231,0.15,0.27,0.747083333,0.072857143,0.029333333,0.0,0.648,0.095238095,0.0122,0.0,0.127,0.055555556,0.0,0.85,0.0,0.095,0.015,242,-2.167525269,4.360535805,0.995666898
